Voltaje,Run 1,Run 2,Run 3,Run 4 
1,0.07196,0.06855,0.06978,0.6929
2,0.06976,0.07005,0.06953,0.06818
3,0.05587,0.06149,0.06142,0.06445
4,0.05154,0.05065,0.05069,0.05049
5,0.04554,0.04534,0.04482,0.0448
6,0.04489,0.05207,0.04549,0.04313
7,0.02064,0.0232,0.02158,0.02022
8,0.02678,0.02517,0.02694,0.02849
9,0.03326,0.03316,0.03205,0.03279
10,0.03179,0.0262,0.02692,0.0279
11,0.02589,0.02522,0.02603,0.02544
12,0.02115,0.02194,0.02348,0.01993
13,0.01907,0.01893,0.01881,0.01935
14,0.01784,0.01844,0.01924,0.02005
15,0.01501,0.00389,0.00615,0.00532
16,0.01142,0.0096,0.01173,0.0076
17,0.00819,0.00857,0.00865,0.00908
18,0.00559,0.00687,0.00756,0.00803
19,0.00723,0.00893,0.00675,0.00789
20,0.00723,0.00689,0.00609,0.00648
21,0.00734,0.00893,0.00776,0.00689
22,0.00974,0.0087,0.01097,0.0192
23,0.01043,0.00873,0.01455,0.01282
24,0.00848,0.00805,0.01919,0.01348
25,0.01987,0.01767,0.01545,0.01765
26,0.0119,0.0117,0.0121,0.01202
27,0.94093,0.94175,0.9424,0.94132
28,0.96144,0.96043,0.96126,0.95796
29,29.576,29.56,29.572,29.552
30,41.402,41.401,41.409,41.389
31,421.01,420.58,420.22,419.56
32,502.64,503.34,503.27,503.87
33,526.76,526.53,526.28,526.03
34,495.81,495.76,495.12,493.01
35,483.94,482.92,483.01,483.54
36,480.14,481.64,480.59,480.81
37,475.12,475.24,476.02,475.41
38,470.11,472.01,471.22,471.98
39,465.09,465.29,467.87,464.06
40,458.67,459.23,458.45,458.32
41,452.17,452.41,452.86,452.53
42,447.04,448.18,449.53,449.19
43,462.84,462.76,463.04,462.97
44,481.28,480.98,481.75,481.22
45,513.87,513.75,514.09,513.28
46,545.13,544.23,545.21,545.67
47,589.87,589.46,590.98,589.81
48,605.56,605.87,605.38,605.43
49,655.34,656.78,656.56,656.87
50,678.12,677.87,677.98,678.14
51,691.43,691.34,691.35,691.76
52,709.64,709.32,709.67,709.45
53,694.12,694.14,694.28,694.31
54,684.32,684.67,684.51,684.41
55,671.97,672.43,672.35,672.11
56,678.76,678.52,678.43,678.42
57,667.89,665.81,666.28,666.49
58,632.37,632.31,632.34,632.76
59,609.67,608.98,608.75,609.32
60,591.83,591.94,591.76,591.34
