d,cero,uno,dos,tres,cuatro,cinco,seis,siete,ocho,nueve,diez
0,64.78,55.08,49.8,41.53,27.7,25.75,17.69,12.6,7.71,6.22,5.65
0.04,64.42,54.76,49.96,41.86,27.71,25.84,17.37,12.75,7.61,6.14,5.99
0.08,64.2,54.89,50.13,41.59,27.69,25.92,17.36,12.88,7.69,6.17,5.82
0.11,64.18,54.85,50.19,41.3,27.47,25.96,17.33,13.04,7.58,6.21,5.81
0.15,64.38,54.28,50.22,41.19,27.46,25.92,17.3,13.11,7.5,6.19,5.65
0.17,64.99,54.71,50.15,41.18,27.62,25.55,17.44,12.92,7.49,6.23,5.69
0.2,65.94,54.84,50.21,41.19,27.89,25.59,17.48,12.94,7.45,6.26,5.96
0.23,64.58,55.25,50.51,41.56,27.99,25.66,17.47,12.91,7.41,6.28,5.58
0.246,64.62,55.6,50.75,41.45,28.12,25.63,17.43,12.91,7.57,6.29,5.18
0.26,,,,,,,,,,,
